Date Time,Elapsed,Control,U0126 13.33 nM,U0126 5.93 nM,U0126 2.63 nM,U0126 1.17 nM,JNK-IN-7 3.33 nM,JNK-IN-7 1.48 nM,JNK-IN-7 0.66 nM,JNK-IN-7 0.29 nM,R428 2 nM,R428 0.89 nM,R428 0.4 nM,R428 0.18 nM,Erlotinib 5 nM,Erlotinib 1.25 nM,Erlotinib 0.31 nM,Erlotinib 0.08 nM
4/24/17 19:03,99.0333,4.4582,2.0413,3.0580,4.9029,5.0641,2.5459,2.3085,8.5057,5.0006,1.3304,1.7716,9.8825,8.5180,1.8787,3.9064,4.1003,3.7225
4/24/17 22:01,102.0000,4.7691,2.3528,3.2400,5.7463,5.9305,2.8819,2.5288,9.5513,5.8947,1.3841,1.8939,11.0194,9.6147,2.2082,4.2258,3.9177,3.8893
4/25/17 1:01,105.0000,4.9793,2.3510,3.0593,5.7792,5.9334,2.8442,2.4740,9.8283,6.2491,1.3774,1.6393,10.4228,8.5917,1.8572,4.0395,3.8585,3.6293
4/25/17 4:04,108.0500,5.3639,2.3523,3.0872,5.8332,6.6078,2.6717,2.4457,10.4430,6.7433,1.2964,1.6912,11.2549,9.8654,2.0659,4.3535,4.2497,3.6968
4/25/17 7:05,111.0667,5.7919,2.5241,2.9886,6.1498,6.8445,2.5717,2.6153,11.5063,7.0518,1.3146,1.7478,12.2130,10.8695,2.1121,4.3900,4.3964,3.7983
4/25/17 10:03,114.0333,6.1266,2.4945,3.0060,6.3988,7.1862,2.7196,2.5328,11.8956,7.4165,1.3973,1.8203,13.0162,11.8996,2.2127,4.5948,4.0849,4.1726
4/25/17 13:01,117.0000,7.9717,3.2582,4.2218,8.4274,8.5768,3.3519,3.0464,15.1789,9.7273,1.6254,2.1159,18.2391,15.7254,2.6685,5.8039,5.7576,4.9680
4/25/17 16:01,120.0000,8.3930,3.0906,4.3179,8.0843,8.5917,2.7942,2.9424,14.8173,9.4798,1.5417,1.7331,16.9072,13.8937,2.4564,5.3219,4.7997,4.3219
4/25/17 19:03,123.0333,9.9872,2.5979,3.8591,8.1490,9.2049,3.1354,2.9750,17.0710,11.3947,1.7705,2.0675,20.1472,18.3394,2.9791,6.6474,5.8271,5.0971
4/25/17 22:01,126.0000,10.2787,2.2499,3.7368,7.7447,8.9635,2.9121,2.9246,17.2709,11.6994,1.5825,1.8939,19.3026,17.0937,2.6611,6.0400,5.3191,5.0865
4/26/17 1:01,129.0000,10.5246,2.5069,3.7553,7.7451,9.4868,3.0291,2.8258,18.0823,12.4639,1.4733,1.9136,19.5847,19.4599,2.6643,5.8272,4.8727,4.8269
4/26/17 4:04,132.0500,11.7078,2.3635,3.7132,7.7559,10.2163,2.8567,2.9820,19.4877,13.1162,1.6076,1.8798,20.7638,21.0003,2.7635,5.7677,5.4727,4.8869
4/26/17 7:05,135.0667,13.1153,2.4425,3.7886,8.2302,10.2812,2.7800,3.0378,20.8784,13.8233,1.5856,1.8343,24.4744,23.0482,2.8033,5.9611,5.2098,5.1923
4/26/17 10:03,138.0333,14.3355,2.3720,3.7260,8.5280,10.2404,2.7938,3.0850,22.6406,15.0977,1.5927,2.0318,26.0083,26.0608,2.8757,6.4230,5.4189,5.2779
4/26/17 13:12,141.1833,16.1413,2.4787,4.4459,9.1257,11.4221,3.1859,3.5763,25.1201,16.6316,1.5466,1.8723,31.3755,33.3214,2.9733,7.2127,5.7998,5.6964
4/26/17 16:12,144.1833,18.6152,3.2553,4.5259,10.0363,12.6461,3.0222,3.6245,28.1302,19.1430,1.7978,2.2010,35.3272,35.2096,3.2831,7.7118,6.6545,6.2941
4/26/17 19:14,147.2167,20.8184,3.3147,4.9576,10.7439,13.0849,3.3777,3.6665,29.2860,19.5424,1.6452,2.1906,37.9164,38.0289,3.3443,8.0598,6.9359,6.1894
4/26/17 22:12,150.1833,22.8468,3.4175,5.1361,10.6860,13.3729,3.3070,3.6590,31.1868,21.2761,1.8170,2.1146,39.4465,41.6503,3.1798,7.8023,6.5342,6.3306
4/27/17 1:12,153.1833,24.3803,3.0581,5.2411,11.2681,14.1649,3.2818,3.5388,33.8088,22.5850,1.7557,1.9790,42.1523,44.3790,3.4320,8.4918,7.2092,6.3383
4/27/17 4:15,156.2333,26.4437,3.1859,5.2765,10.9947,14.0882,3.5469,3.6530,35.2741,25.0185,1.8192,2.0959,44.6623,47.3355,3.4676,8.4319,7.0652,6.3748
4/27/17 7:16,159.2500,27.5245,3.2186,5.1296,11.8208,14.6353,3.8146,3.7775,37.7326,25.4314,1.7649,2.0310,48.3761,49.4523,3.5690,8.6153,7.0793,6.4547
4/27/17 10:14,162.2167,29.7919,3.2821,5.6323,11.4411,15.4601,3.5337,3.7925,39.8801,27.2073,1.7908,2.0824,50.7742,53.8859,3.6417,9.0596,7.0049,6.4749
4/27/17 13:12,165.1833,31.7904,3.3555,5.5776,11.8817,15.4079,3.3832,4.0539,41.6391,28.2317,1.7712,2.0215,54.9878,56.1910,3.7503,9.1716,7.2604,6.4950
4/27/17 16:12,168.1833,32.9163,3.5019,5.7500,11.9183,16.2475,3.1961,3.8369,44.6459,30.2609,1.7773,2.0825,59.4795,61.0431,3.8208,9.2867,7.5779,6.6713
4/20/17 16:01,0.0000,0.4333,0.3910,1.0620,0.6198,0.5951,0.5987,0.4296,0.3494,0.9340,0.7717,0.8266,0.7072,0.6971,0.4101,0.5173,0.5724,0.6897
4/20/17 19:03,3.0333,0.5270,0.5141,1.1936,0.8164,0.7352,0.6742,0.5564,0.4929,0.9827,0.7267,1.0022,0.7779,0.7628,0.4993,0.6086,0.7037,0.7978
4/20/17 22:01,6.0000,0.5341,0.4967,1.2878,0.8450,0.7460,0.7020,0.6029,0.5532,1.0727,0.7159,1.0333,0.8933,0.8403,0.5665,0.6055,0.7420,0.7975
4/21/17 1:01,9.0000,0.6733,0.5738,1.3757,0.8713,0.8233,0.7250,0.7116,0.6270,1.1474,0.7302,1.0739,1.0045,0.8168,0.5958,0.6497,0.7717,0.8125
4/21/17 4:04,12.0500,0.6814,0.5441,1.4932,0.9872,0.8705,0.7728,0.7248,0.6472,1.1812,0.7003,1.1212,1.0397,0.9128,0.6576,0.6992,0.9129,0.8750
4/21/17 7:05,15.0667,0.7074,0.5662,1.5633,1.0744,0.9482,0.8109,0.8400,0.6509,1.2492,0.8283,1.1646,1.1342,0.9912,0.7233,0.8155,1.0049,0.9091
4/21/17 10:03,18.0333,0.7641,0.6118,1.5904,1.0972,1.0010,0.8272,0.9677,0.7002,1.2392,0.7684,1.1528,1.1518,0.9737,0.6922,0.8740,1.0698,0.9775
4/21/17 13:01,21.0000,0.7411,0.6430,1.6167,1.0853,1.0675,0.7627,0.9331,0.7902,1.2599,0.8058,1.1861,1.2687,1.1055,0.7128,0.8830,1.1276,0.9618
4/21/17 16:01,24.0000,0.9605,0.6357,1.7918,1.2219,1.1688,0.8999,0.9615,0.9870,1.4065,0.9732,1.4374,1.4490,1.3471,0.8573,0.9609,1.3253,1.1311
4/21/17 19:03,27.0333,0.9050,0.6583,1.8986,1.3334,1.2720,0.8714,0.9324,1.0388,1.4787,1.1729,1.5330,1.6731,1.3598,0.8802,1.1088,1.3495,1.1398
4/21/17 22:01,30.0000,0.9843,0.6518,1.9493,1.2569,1.2361,0.7962,1.0242,0.9981,1.4881,1.2025,1.4967,1.6808,1.3577,0.8211,1.1066,1.3770,1.2062
4/22/17 1:01,33.0000,0.9656,0.7582,2.0477,1.3715,1.2839,0.7958,0.9752,1.1048,1.5479,1.1254,1.4546,1.8010,1.5264,0.8001,1.1601,1.3540,1.1530
4/22/17 4:04,36.0500,1.0614,0.7307,2.1597,1.2530,1.3675,0.7944,0.9606,1.1802,1.5511,1.0533,1.3654,1.9420,1.4848,0.8626,1.2458,1.3907,1.2889
4/22/17 7:05,39.0667,1.1638,0.7389,2.2170,1.3046,1.3872,0.8082,0.9898,1.1184,1.6549,0.9892,1.3821,2.0851,1.6582,0.8495,1.2123,1.5177,1.2751
4/22/17 10:03,42.0333,1.1467,0.7905,2.3472,1.3784,1.4332,0.8677,1.0087,1.1542,1.6913,1.0358,1.4101,2.0864,1.7970,0.8523,1.2760,1.4793,1.2925
4/22/17 13:01,45.0000,1.1554,0.7439,2.3631,1.3793,1.5898,0.8646,1.0963,1.3134,1.7777,1.0691,1.3808,2.1144,1.8060,0.8577,1.3078,1.5791,1.2966
4/22/17 16:01,48.0000,1.3051,0.8183,2.3766,1.4056,1.7107,0.8141,1.1292,1.4187,1.8677,1.1007,1.4958,2.2311,1.9296,0.8522,1.3540,1.6311,1.3209
4/22/17 19:03,51.0333,1.5343,1.0756,2.6186,1.5384,1.8322,0.8939,1.2365,1.7220,2.0817,1.3584,1.6688,2.5997,2.6458,1.0273,1.6278,1.9435,1.6178
4/22/17 22:01,54.0000,1.6704,1.0138,2.8219,1.7709,2.0481,0.9582,1.3183,1.6657,2.1986,1.7147,1.6896,2.8551,2.5579,1.1252,1.6044,2.1414,1.6958
4/23/17 1:01,57.0000,1.7665,1.0693,2.8186,1.8428,2.1501,0.8805,1.2846,1.7160,2.3505,1.4683,1.6341,2.9800,2.6614,1.0872,1.5312,2.1514,1.7010
4/23/17 4:04,60.0500,1.8394,0.9838,2.9614,1.7767,2.1591,0.9233,1.3373,1.7323,2.4657,1.5204,1.6207,3.2525,2.5641,1.0711,1.5552,2.1319,1.6917
4/23/17 7:05,63.0667,1.9163,1.0662,3.0019,1.9072,2.3437,0.9077,1.4175,1.8850,2.3981,1.4514,1.6607,3.1865,2.6874,1.0670,1.7256,2.1236,1.8435
4/23/17 10:03,66.0333,2.0015,1.0310,3.0817,2.0236,2.4248,0.9031,1.4583,2.3098,2.6383,1.6927,1.6638,3.3810,2.9625,1.1151,1.7312,2.2074,1.7002
4/23/17 13:01,69.0000,2.2567,1.0580,3.3453,2.1720,2.6993,0.9423,1.4489,2.2980,2.9253,1.5628,1.5687,3.6306,3.2085,1.1570,1.8045,2.4795,1.8001
4/23/17 16:01,72.0000,2.5898,1.1971,3.5328,2.5182,3.0050,1.0819,1.8004,3.0207,3.2022,1.9739,1.9746,4.4489,3.9342,1.4576,2.1801,2.8312,2.1453
4/23/17 19:03,75.0333,2.6141,1.1280,3.5210,2.4762,3.1553,0.9462,1.7042,2.5846,3.2619,1.8030,1.8206,4.0595,3.5995,1.2246,2.0213,2.5550,2.1378
4/23/17 22:01,78.0000,2.8309,1.0568,3.6472,2.6148,3.4003,1.0186,1.7500,2.8032,3.5190,1.5893,1.6753,3.9928,3.6722,1.2581,2.1385,2.6765,2.0154
4/24/17 1:01,81.0000,3.0049,1.0319,3.6119,2.5762,3.6102,1.0385,1.7684,2.9603,3.7270,1.7032,1.7630,4.2788,3.7852,1.2387,2.1726,2.6428,2.0993
4/24/17 4:04,84.0500,3.2146,1.0833,3.7543,2.6397,3.8924,1.0768,1.8053,2.9979,4.1318,1.6569,1.6882,4.4694,4.1492,1.2684,2.1942,2.7531,2.1736
4/24/17 7:05,87.0667,3.5501,1.0390,3.8610,2.7379,4.2325,1.0098,1.9424,3.2705,4.3772,1.8594,1.8121,4.7876,4.4670,1.3310,2.2933,2.8296,2.1786
4/24/17 10:03,90.0333,3.8477,1.0296,3.9585,2.8095,4.4815,0.9759,2.0250,3.7392,4.5687,1.7460,1.7247,4.9569,4.6175,1.3251,2.2910,2.8250,2.1393
4/24/17 13:01,93.0000,4.1623,1.0366,4.2305,2.9022,4.7134,0.9960,1.9885,4.1187,5.1265,1.3592,1.8313,5.3347,4.9836,1.3524,2.3066,3.1633,2.3617
4/24/17 16:01,96.0000,5.0410,1.3766,4.7076,3.3925,5.6264,1.3047,2.5734,5.1444,5.8668,2.1906,2.1979,6.7312,6.4517,1.6716,3.0948,4.4274,2.6893
4/24/17 19:03,99.0333,5.7733,1.2583,4.9038,3.5000,5.8548,1.2968,2.6847,5.6992,6.2266,1.8047,2.4317,7.2953,6.3999,1.6928,2.8824,4.0557,2.8382
4/24/17 22:01,102.0000,6.3066,1.3453,5.2544,4.2511,6.6637,1.3888,3.0137,6.4899,6.9012,2.0721,2.8556,7.8626,7.7635,1.8993,3.5031,4.6612,3.2986
4/25/17 1:01,105.0000,6.4228,1.2773,5.1135,4.1087,7.0866,1.4980,2.9595,6.9833,7.2726,2.0486,2.7308,7.6705,7.3556,1.8420,3.2951,4.3399,3.1523
4/25/17 4:04,108.0500,7.2273,1.2917,5.4048,4.1252,7.8323,1.4417,3.0283,7.8268,7.8376,2.0522,2.6461,7.9321,7.9733,1.9344,3.4064,4.5711,3.2771
4/25/17 7:05,111.0667,7.8138,1.3259,5.4913,4.2730,8.4478,1.4519,3.2461,8.2704,8.4273,2.0310,2.5543,8.0616,7.9688,1.9488,3.5599,4.4212,3.3938
4/25/17 10:03,114.0333,8.7267,1.3178,5.5970,4.4364,9.0406,1.4688,3.5104,8.8697,9.0539,1.9767,2.5401,7.9084,8.3873,2.0632,3.6456,4.7419,3.5362
4/25/17 13:01,117.0000,10.3614,1.6448,6.1155,5.3659,10.9876,1.6840,4.4978,11.8228,11.2295,2.8810,3.5222,10.7273,11.5863,2.6569,4.5822,6.3210,4.7356
4/25/17 16:01,120.0000,11.2559,1.5748,6.0758,5.2281,11.1503,1.5793,4.3691,11.7137,11.9679,2.3636,3.3856,9.4156,10.3943,2.3546,4.1253,5.7290,4.5154
4/25/17 19:03,123.0333,12.9844,2.0099,6.9766,5.9925,13.4151,1.7053,4.7342,14.6686,13.9513,2.6893,2.4838,10.2726,11.5192,1.9520,3.9953,5.5109,4.4198
4/25/17 22:01,126.0000,13.3353,1.7778,6.8547,5.8721,13.8362,1.6750,4.5479,14.6576,14.3956,1.6347,2.3061,9.4102,10.6999,1.9452,3.6889,5.0070,3.9385
4/26/17 1:01,129.0000,14.5007,1.9080,6.8531,6.1641,15.0621,1.7830,4.8272,16.3576,15.5260,1.9681,2.3808,9.8274,10.9472,1.9580,3.7662,4.8709,4.0628
4/26/17 4:04,132.0500,15.8572,1.8866,7.1442,6.3822,16.6208,1.7174,5.0352,17.7680,16.6202,1.7524,2.3961,10.6301,11.3119,1.9474,3.7962,4.8082,4.2717
4/26/17 7:05,135.0667,16.9754,1.8931,7.3326,6.6644,17.8689,1.7753,5.3910,20.2936,18.9966,2.3490,2.4048,11.1872,11.6514,1.9190,3.9016,5.0241,4.2043
4/26/17 10:03,138.0333,18.4920,1.8351,7.3759,6.8227,19.1029,1.7292,5.5993,22.0037,20.7282,2.1146,2.4582,11.4205,11.8567,2.0206,3.9664,5.2488,4.4121
4/26/17 13:12,141.1833,21.3244,2.0230,7.9102,7.6712,22.0337,1.7884,6.3625,25.5888,23.9505,2.4586,3.0936,12.4076,13.2936,1.9420,4.2277,5.5837,4.7057
4/26/17 16:12,144.1833,24.3527,2.4951,9.3676,9.0529,24.8892,1.9105,6.5708,30.6441,27.6795,2.9517,3.2447,13.6655,14.5131,2.2421,4.4731,5.7931,5.2953
4/26/17 19:14,147.2167,26.0396,2.5012,9.2011,9.0116,27.3973,1.8119,7.1439,32.7113,29.7739,3.3731,3.3377,14.3630,15.9961,2.3212,4.5337,6.3265,5.3394
4/26/17 22:12,150.1833,28.3892,2.4537,9.6620,9.7254,28.9754,1.8820,7.3431,36.0165,31.8419,3.2308,3.3487,13.7986,16.7217,2.3287,4.3245,6.9378,5.4736
4/27/17 1:12,153.1833,30.6974,2.5812,9.9110,10.5691,30.4283,2.0259,8.0506,39.5275,33.7894,3.4406,3.7260,14.6718,16.5401,2.4060,4.4895,6.5229,5.2782
4/27/17 4:15,156.2333,32.6164,2.6345,10.5041,10.9911,32.4337,2.0071,8.7564,42.6302,37.5489,3.1861,3.1812,15.2609,17.2925,2.5580,4.5262,6.0699,5.3276
4/27/17 7:16,159.2500,35.9638,2.5524,10.9979,11.7920,34.4401,1.9031,8.6182,45.1789,40.1959,3.4993,3.1071,15.3247,17.2770,2.4925,4.3210,6.1462,5.1310
4/27/17 10:14,162.2167,38.5458,2.6155,11.5779,12.1678,36.5653,1.9246,8.9377,48.3836,43.8439,3.3174,3.5219,15.1935,18.6607,2.4319,4.4751,5.3459,5.3599
4/27/17 13:12,165.1833,40.0311,2.6367,12.0265,13.3522,38.7903,2.0438,9.2394,50.2827,47.3082,3.3360,3.2269,15.0923,19.7222,2.4937,4.2481,5.8257,5.3107
4/27/17 16:12,168.1833,43.2892,2.5153,12.7733,13.8424,40.5575,1.9074,9.3175,54.4411,50.4671,3.6090,3.1516,15.9887,20.0201,2.6704,4.3621,5.5076,5.4287
