Date Time,Elapsed,Control,R 1,Dox 12.5,NVB 2.5,Dox 25,NVB 5,Dox 50,NVB 10,Dox 100,NVB 20,Dox 200,NVB 40,Dox 12.5,NVB 2.5,Dox 25,NVB 5,Dox 50,NVB 10,Dox 100,NVB 20
3/6/17 0:00,60,43.8686,37.5654,51.8472,48.2486,43.1074,38.5925,36.0386,37.5812,25.7101,27.2182,15.7892,20.9849,46.9010,40.3754,37.0705,47.4636,24.7022,32.2897,19.5689,21.0172
3/6/17 3:00,63,48.3531,44.7364,55.1292,51.7210,45.6595,48.6465,36.0786,39.7743,25.8764,28.3756,15.5142,20.7282,51.9597,44.7322,43.7668,50.4070,26.0373,34.9989,19.2732,21.1690
3/6/17 6:00,66,54.7272,50.8677,63.8796,56.6853,50.2390,53.3951,38.0063,44.2648,25.6221,30.3708,16.0716,20.8238,56.0312,49.2070,46.6430,59.0274,27.9427,40.1614,19.9892,22.3051
3/6/17 9:00,69,54.4166,55.2110,60.3511,60.2880,53.5543,59.1981,40.1347,49.2560,29.0436,31.7532,17.3355,21.6526,57.7511,52.0274,51.1203,63.5325,29.7010,45.8311,20.5997,21.3393
3/6/17 12:00,72,66.5661,62.7068,69.9175,71.4265,55.2542,65.8843,42.9837,55.3381,32.6503,36.6322,19.9239,24.1850,70.4496,59.8154,57.2985,69.9160,32.8048,50.0613,24.3642,26.5631
3/3/17 12:00,0,5.8738,5.3267,7.2684,5.5603,6.4742,6.0838,7.1912,5.8514,7.2319,6.6757,6.7375,5.3698,6.2968,5.2609,7.4090,6.1170,6.3342,5.8218,6.8260,5.8578
3/3/17 15:00,3,7.1577,5.8188,7.9780,6.3475,7.5069,6.9430,8.0687,6.5226,8.3270,7.6080,7.2476,6.1634,7.2675,5.4554,8.2530,6.7903,7.2202,6.5195,7.8506,6.1649
3/3/17 18:00,6,8.1800,6.9202,9.2503,7.4782,8.5618,8.2314,9.0154,7.2838,9.2342,8.1894,8.1101,7.3364,7.9789,6.4753,9.1616,7.8167,8.1077,7.1300,9.0711,6.7970
3/3/17 21:00,9,9.0521,7.6455,10.9684,8.2759,9.3068,9.1108,9.7686,7.7136,9.4605,8.5694,8.4142,7.3300,8.5295,7.1425,10.6268,8.6375,8.9178,8.1349,10.0091,7.0014
3/4/17 0:00,12,10.2124,8.9936,11.7322,9.1272,10.5478,10.2454,11.1811,9.0192,10.5782,9.3349,8.6658,7.7286,9.7368,8.2608,11.8266,9.2931,10.1036,9.2674,10.5017,7.4735
3/4/17 3:00,15,11.6527,9.6305,13.7108,10.0625,11.3547,11.1729,11.6549,9.7182,11.2060,10.2559,8.9603,8.1036,10.8781,8.7175,12.8140,10.6391,10.5601,10.0264,10.6919,8.4101
3/4/17 6:00,18,12.5016,10.2268,14.4731,11.4213,12.6429,12.6531,12.4878,11.0934,12.0269,11.8856,9.7321,9.2588,12.0931,9.6611,13.3586,11.9143,10.9509,12.6838,11.7507,9.0075
3/4/17 9:00,21,13.5211,11.5803,16.2115,12.0690,14.1010,13.9775,13.8553,11.7913,12.4839,13.6582,10.4697,10.4176,13.4222,10.3524,15.8539,13.3387,11.9738,13.2974,12.5431,10.2555
3/4/17 12:00,24,12.9291,12.1054,15.2474,11.2917,14.7382,12.9494,14.2919,11.8939,12.5906,12.8922,10.4890,10.6509,12.8911,9.3745,15.0277,12.4037,11.5840,13.0439,11.8876,10.4454
3/4/17 15:00,27,16.1808,12.8838,17.8353,13.9637,16.5111,15.1382,15.9374,13.0741,14.3922,14.1649,10.8746,11.3842,15.0963,11.4627,18.8325,14.3450,12.7799,14.0779,13.2956,11.2564
3/4/17 18:00,30,16.6951,14.3728,18.8873,15.4213,18.2497,16.6163,16.3740,14.2706,14.7207,15.0030,10.8390,12.3665,15.9555,11.8522,18.7378,15.7717,13.3858,15.4211,13.8223,11.0721
3/4/17 21:00,33,17.2188,15.5713,20.7668,15.8380,20.4769,16.9370,17.5115,15.2585,15.4913,14.9945,11.5596,11.8660,17.5771,12.8486,21.4718,16.6136,14.0059,16.7234,14.6708,11.4058
3/5/17 0:00,36,20.2051,16.6052,23.0214,17.8786,21.9489,20.0867,18.0537,16.0762,15.7722,16.3319,11.7452,12.8286,20.1420,14.5011,21.1055,18.3200,14.6194,17.8690,14.7361,11.8104
3/5/17 3:00,39,21.7970,18.7289,25.2237,18.6090,23.7200,21.3937,20.1074,18.2438,16.1649,17.2155,12.4447,12.7813,22.2786,15.6426,25.4014,20.4358,15.7564,20.3176,16.2071,13.2870
3/5/17 6:00,42,23.9983,19.4963,27.4974,20.3084,25.5417,24.6424,20.7375,19.8935,17.8383,18.2295,12.2675,13.4481,23.4374,18.4543,26.5637,21.3076,16.8048,21.4784,16.8130,13.5834
3/5/17 9:00,45,25.5493,21.9709,31.0084,22.0228,27.4172,25.3886,22.1250,20.4242,18.8303,19.0978,11.7188,14.4703,25.5575,18.4811,28.3974,24.2594,17.3004,22.1974,17.7513,14.6536
3/5/17 10:07,46.11666667,32.6806,26.9718,35.2682,27.9340,32.4875,31.9433,24.4582,24.4721,20.5948,22.0993,13.1660,17.2689,30.7265,23.4592,30.7689,29.1351,21.1877,25.7347,19.3706,16.9010
3/5/17 12:00,48,32.5480,28.2322,38.1515,27.0785,33.1170,32.3099,25.9292,26.0105,20.8007,22.8713,14.1383,16.0076,30.9446,23.8739,33.7834,29.7386,20.9256,27.1332,19.8957,16.8439
3/5/17 15:00,51,35.1348,29.3247,41.6519,31.1392,36.4110,34.4984,27.3962,25.7701,22.2005,24.1177,14.3033,16.9728,34.8697,26.3341,37.9491,32.3114,21.5106,27.5351,20.0509,17.5625
3/5/17 18:00,54,37.4355,33.5316,44.5484,33.6853,40.1610,39.6790,28.9408,30.8088,22.9464,25.1055,13.8908,17.8516,37.3683,26.4103,42.6367,36.7982,23.5244,31.3984,22.1218,18.6622
3/5/17 21:00,57,40.1309,33.0876,46.7241,34.9795,40.0879,38.0035,30.5515,30.6379,23.6774,26.3176,13.5380,18.7949,41.1989,29.9956,42.4309,38.6890,24.1974,32.6921,21.2384,18.1849
3/6/17 0:00,60,41.8477,34.5655,50.6428,36.9834,44.3969,40.1603,33.5966,31.5396,23.4331,25.8645,14.6001,18.0775,43.2196,31.9633,45.8383,44.7614,26.6273,34.9514,21.8344,19.6878
3/6/17 3:00,63,44.2853,36.4882,55.8479,40.2372,50.7104,44.8479,34.1807,33.2274,23.4094,28.0077,15.1334,18.9331,49.7861,33.6785,50.8990,45.9765,26.2027,36.4603,22.5642,19.1278
3/6/17 6:00,66,50.7733,41.3349,60.7256,44.1105,53.5033,50.9161,36.1568,37.6362,24.0375,27.5057,15.1468,18.6039,53.6406,38.7971,52.5413,47.3019,29.6504,42.1251,21.7910,19.8769
3/6/17 9:00,69,57.0634,47.4741,64.8229,52.9300,56.6575,52.8828,40.5715,39.8034,26.0220,31.7547,16.0453,18.9077,57.8234,44.4236,59.8146,55.4026,30.5491,45.6376,23.5817,21.2818
3/6/17 12:00,72,65.1641,59.6974,72.4402,62.3340,65.0305,64.8948,46.6422,49.6974,30.1066,34.5278,18.4630,21.5789,64.6640,50.2182,70.1175,64.3108,36.5676,51.7432,25.6587,23.3969
