Location,Plate,Drug,conc (nM),pMEK,pERK,p-c-Jun,BCA
"44(1,D6)",2,JNK-IN-7,0.658,264.5,21.5,25,0.096
"45(1,E6)",2,JNK-IN-7,0.658,287,19,22,0.0911
"46(1,F6)",2,JNK-IN-7,0.658,194,20.5,23,0.0988
"49(1,A7)",2,U0126,1.756,215.5,18,27.5,0.089
"50(1,B7)",2,U0126,1.756,173.5,20,39.5,0.093
"51(1,C7)",2,U0126,1.756,603.5,19.5,34,0.0904
"52(1,D7)",2,JNK-IN-7,0.439,253,22.5,24,0.0974
"53(1,E7)",2,JNK-IN-7,0.439,255.5,19,25,0.0958
"54(1,F7)",2,JNK-IN-7,0.439,258,22,24,0.0985
"57(1,A8)",2,U0126,1.171,201,21,30,0.0921
"58(1,B8)",2,U0126,1.171,244,20.5,39,0.0917
"59(1,C8)",2,U0126,1.171,458.5,20.5,32,0.0907
"60(1,D8)",2,JNK-IN-7,0.293,360,21,28,0.0962
"61(1,E8)",2,JNK-IN-7,0.293,280,22,22.5,0.0907
"62(1,F8)",2,JNK-IN-7,0.293,284,20,24,0.0916
"65(1,A9)",2,U0126,0.78,179,21,39.5,0.0927
"66(1,B9)",2,U0126,0.78,456,19.5,37,0.0929
"67(1,C9)",2,U0126,0.78,326,20,38.5,0.0963
"68(1,D9)",2,JNK-IN-7,0.195,552.5,21,36,0.0803
"69(1,E9)",2,JNK-IN-7,0.195,426.5,22.5,32,0.0734
"70(1,F9)",2,JNK-IN-7,0.195,355,20,29.5,0.086
"73(1,A10)",2,U0126,0.52,102.5,19.5,30,0.0906
"74(1,B10)",2,U0126,0.52,279,19,32,0.0935
"75(1,C10)",2,U0126,0.52,264,19,34.5,0.0921
"76(1,D10)",2,JNK-IN-7,0.13,293,19.5,27.5,0.0891
"77(1,E10)",2,JNK-IN-7,0.13,303,20,29,0.0889
"78(1,F10)",2,JNK-IN-7,0.13,324.5,19.5,31,0.0899
"81(1,A11)",2,U0126,0.347,151,15,26,0.0854
"82(1,B11)",2,U0126,0.347,466,18,27.5,0.0912
"83(1,C11)",2,U0126,0.347,508,16,32.5,0.0915
"84(1,D11)",2,JNK-IN-7,0.087,227,23,27,0.0872
"85(1,E11)",2,JNK-IN-7,0.087,305,21,33.5,0.0901
"86(1,F11)",2,JNK-IN-7,0.087,262,19.5,30,0.0901
"89(1,A12)",2,U0126,0,257,18,29,0.0875
"90(1,B12)",2,U0126,0,162,17,29,0.0963
"91(1,C12)",2,U0126,0,220,21,33,0.0929
"92(1,D12)",2,JNK-IN-7,0,252,19,26,0.0883
"93(1,E12)",2,JNK-IN-7,0,284,23,32,0.0894
"94(1,F12)",2,JNK-IN-7,0,296,20.5,36,0.0855
