Date,Elapsed,Control,PIM447 2.5 uM,PIM447 5 uM,PIM447 10 uM,PIM447 20 uM,BYL719 10 uM,BYL719 20 uM,BYL719 30 uM,BYL719 1.25 uM,BYL719 2.5 uM,BYL719 5 uM
,57,41.35176,42.17742,29.15968,21.15005,10.56634,16.80692,8.869801,9.41968,23.00015,20.56431,15.77147
,60,44.73711,44.8524,32.12339,22.17075,10.47741,18.08759,8.886753,9.366737,24.98096,22.12339,16.2593
,63,47.2313,47.97056,34.9733,23.07057,10.75057,19.20393,9.251682,9.389528,27.47475,24.4116,18.02371
,66,50.80566,52.52342,38.07189,25.06306,10.95631,20.8886,9.442949,9.871407,30.13714,26.70924,19.56961
,69,52.95341,54.43473,40.39117,26.57837,11.14529,22.32278,9.869256,9.597425,31.52514,29.09007,20.65226
,72,55.29553,54.6376,41.86025,26.51271,12.36496,22.75728,9.3428,9.441447,32.79181,28.73013,21.71516
,0,3.469767,3.815593,3.008768,3.184055,3.250622,3.965987,3.564607,2.977628,3.164353,2.824895,2.964431
,3,4.202718,4.653576,3.634605,3.944902,4.011111,4.789339,2.802444,3.429988,4.026664,3.450082,3.538741
,6,4.963276,5.599134,4.241559,4.568111,4.481756,5.611511,3.057683,3.840024,4.584927,3.96778,3.980311
,9,5.659555,6.384311,4.924897,5.252352,4.970874,6.415316,3.368134,4.206372,5.072148,4.682088,4.642103
,12,6.462368,7.41281,5.631504,5.965072,5.506907,7.507053,3.997828,4.814726,5.783895,5.064979,5.177591
,15,7.37035,8.446769,6.196101,6.51444,6.079222,8.356504,4.593804,5.189798,6.532332,5.786372,5.956878
,18,8.053329,9.342903,6.823474,7.227602,6.563901,8.917569,4.986529,5.744937,7.250105,6.559136,6.504948
,21,9.93222,12.11666,8.300694,9.02849,7.26279,10.38926,5.982145,6.795185,8.660657,7.409069,7.642182
,24,11.10324,13.50982,9.339847,9.729857,7.399047,10.77333,5.741607,7.036439,9.179054,7.905905,8.072604
,27,12.56522,15.28324,10.16597,10.31494,7.747094,11.58642,5.895843,7.121684,10.10635,8.353859,8.441954
,30,13.89839,16.6989,11.45218,11.32847,8.078887,12.17072,5.743058,7.259991,10.82298,9.054509,8.847876
,33,15.75219,18.69497,12.4896,12.39703,8.292995,12.66593,6.016016,7.247766,11.68679,9.849896,9.314015
,36,17.9544,20.84,14.13962,13.12113,8.420101,13.20656,5.804657,7.223472,12.71503,10.69807,9.716352
,39,19.74163,22.75333,15.51218,13.98693,8.606792,13.51759,5.690952,7.203018,14.29062,11.83694,10.25203
,42,21.99255,25.35478,16.63275,15.16638,8.891328,14.40952,5.607381,7.3347,16.01171,12.75959,11.19472
,45,24.80415,27.79283,18.32383,15.82275,9.036293,15.49162,5.584417,7.220757,18.2157,14.37222,11.60957
,48,28.11765,31.23933,21.45542,17.83254,9.526077,17.4118,5.746012,7.416071,19.79996,15.84381,12.7755
,51,29.76656,32.50928,23.06246,19.43807,9.568297,17.83661,5.782547,7.564961,20.80115,16.80783,13.83029
,54,32.68708,35.39844,24.65776,20.47561,9.629144,18.48193,5.649156,7.464148,22.85139,18.08454,14.19145
,57,36.61874,39.73571,26.87461,21.58546,9.548184,19.9683,5.720265,7.552292,23.6384,20.13815,14.93219
,60,39.24972,41.18416,28.93445,22.53982,9.828044,20.9151,5.677327,7.595709,25.72445,21.60228,15.90661
,63,41.38636,43.91402,31.25019,24.25795,10.1191,22.1659,5.643677,7.772225,27.64125,22.8249,17.53558
,66,45.88708,47.7485,33.36772,25.66049,10.05311,24.31412,5.810853,7.836897,31.00057,24.9664,18.83316
,69,47.66047,50.39287,36.40924,26.9907,10.07632,25.6939,5.764996,7.974094,33.56778,26.20287,20.19572
,72,50.14512,50.06853,36.24749,25.99113,11.34769,27.10528,5.556606,7.833363,35.04229,27.0769,21.41762
