Date Time,Elapsed,Control,R 1,Eto 0.2 uM,Gem 1.25 nM,Eto 1 uM,Gem 2.5 nM,Eto 2 uM,Gem 5 nM,Eto 4 uM,Gem 10 nM,Eto 8 uM,Gem 20 nM,Eto 0.2 uM,Gem 1.25 nM,Eto 1 uM,Gem 2.5 nM,Eto 2 uM,Gem 5 nM,Eto 4 uM,Gem 10 nM
3/4/17 18:00,30,0.1407,0.0873,0.1588,0.0960,0.1938,0.0639,0.3017,0.0756,0.2979,0.0769,0.2507,0.1259,0.2106,0.0872,0.2178,0.1038,0.2925,0.1614,0.2872,0.0927
3/4/17 21:00,33,0.1345,0.0751,0.1501,0.0974,0.1806,0.0732,0.2974,0.0589,0.3292,0.0644,0.2236,0.1090,0.1972,0.0773,0.2030,0.0853,0.3121,0.1504,0.2889,0.0961
3/5/17 0:00,36,0.1300,0.0743,0.1384,0.0991,0.2059,0.0742,0.3480,0.0560,0.4236,0.0811,0.3123,0.1008,0.1816,0.0797,0.2096,0.0827,0.3532,0.1477,0.3825,0.0789
3/5/17 3:00,39,0.1361,0.0653,0.1368,0.0983,0.2135,0.0872,0.4273,0.0475,0.5133,0.0772,0.3402,0.1165,0.1839,0.0758,0.2412,0.1034,0.3667,0.1812,0.4714,0.0783
3/5/17 6:00,42,0.1409,0.0696,0.1353,0.0929,0.2150,0.0889,0.4808,0.0734,0.6270,0.0671,0.3649,0.1417,0.1910,0.0798,0.2376,0.0910,0.3945,0.1712,0.4698,0.0921
3/5/17 9:00,45,0.1456,0.0768,0.1518,0.1005,0.2221,0.0831,0.5236,0.1005,0.6957,0.0986,0.4252,0.1340,0.2060,0.0847,0.2421,0.0969,0.3791,0.1852,0.4855,0.1078
3/5/17 10:07,46.11666667,0.1681,0.1018,0.1812,0.1327,0.2964,0.1142,0.7164,0.1206,0.9153,0.1331,0.5951,0.1964,0.2968,0.1331,0.3468,0.1546,0.5589,0.2529,0.7696,0.1550
3/5/17 12:00,48,0.1761,0.1241,0.1942,0.1348,0.3104,0.1171,0.8087,0.1526,0.9282,0.1406,0.6505,0.1962,0.3009,0.1590,0.3529,0.1484,0.5622,0.2687,0.7775,0.1611
3/5/17 15:00,51,0.2197,0.0858,0.2353,0.1383,0.3596,0.1164,0.8525,0.1356,1.0546,0.1639,0.7847,0.1736,0.2914,0.1658,0.3494,0.1408,0.5389,0.2027,0.7440,0.1880
3/5/17 18:00,54,0.2131,0.0823,0.2874,0.1397,0.3839,0.1234,0.9043,0.1882,1.0812,0.1718,0.8320,0.2312,0.3037,0.1788,0.3725,0.1390,0.5588,0.2091,0.7597,0.1945
3/5/17 21:00,57,0.1857,0.0712,0.2336,0.1133,0.3189,0.1123,0.8807,0.1520,1.0455,0.1707,0.7922,0.2248,0.2689,0.1535,0.3099,0.1402,0.4824,0.1862,0.5928,0.1608
3/6/17 0:00,60,0.1879,0.0854,0.2393,0.1166,0.3293,0.1488,0.9396,0.1451,1.0696,0.1934,0.9015,0.2504,0.2506,0.1606,0.2997,0.1703,0.4561,0.1682,0.5358,0.1427
3/6/17 3:00,63,0.1875,0.0973,0.2353,0.1362,0.3824,0.1429,0.9436,0.1847,1.0720,0.2372,0.9266,0.3066,0.2454,0.1556,0.3219,0.1713,0.4596,0.1981,0.5506,0.1454
3/6/17 6:00,66,0.1718,0.0907,0.2358,0.1315,0.3910,0.1865,1.0208,0.2208,1.1922,0.3286,0.9791,0.3489,0.2626,0.1717,0.3356,0.1943,0.4899,0.2277,0.5592,0.1558
3/6/17 9:00,69,0.1826,0.1061,0.2588,0.1502,0.3938,0.1924,1.0089,0.2906,1.2363,0.3920,1.0645,0.4146,0.2592,0.1862,0.3792,0.2034,0.5279,0.2495,0.5541,0.1602
3/6/17 12:00,72,0.2441,0.1515,0.3288,0.2209,0.4775,0.3269,1.1925,0.4176,1.4890,0.5293,1.3108,0.5415,0.3363,0.2547,0.5029,0.3151,0.6679,0.3718,0.7927,0.1754
3/3/17 12:00,0,0.0413,0.0523,0.1096,0.0543,0.0538,0.0407,0.0641,0.0537,0.0537,0.0453,0.0482,0.0585,0.0450,0.0862,0.0547,0.0612,0.0435,0.0516,0.0426,0.0623
3/3/17 15:00,3,0.0694,0.0997,0.1025,0.0704,0.0684,0.0781,0.0800,0.0580,0.0730,0.0527,0.0837,0.0740,0.0899,0.0867,0.0654,0.0816,0.0779,0.0923,0.0827,0.0873
3/3/17 18:00,6,0.0751,0.1321,0.1106,0.0935,0.0797,0.0823,0.1139,0.0436,0.1417,0.0646,0.1027,0.1136,0.1251,0.1092,0.1200,0.0837,0.1115,0.0868,0.1015,0.1198
3/3/17 21:00,9,0.0594,0.1029,0.1030,0.0812,0.0610,0.0749,0.0854,0.0341,0.1035,0.0528,0.0925,0.0878,0.1011,0.1012,0.1040,0.0591,0.0899,0.0800,0.0762,0.0973
3/4/17 0:00,12,0.0553,0.0856,0.0994,0.0766,0.0579,0.0620,0.0750,0.0633,0.1023,0.0568,0.1020,0.0903,0.0962,0.0978,0.1198,0.0608,0.0721,0.0951,0.0787,0.0943
3/4/17 3:00,15,0.0536,0.0966,0.1176,0.0875,0.0725,0.0656,0.0647,0.0675,0.0938,0.0756,0.1089,0.0964,0.0971,0.0922,0.1231,0.0540,0.0727,0.0894,0.0890,0.0864
3/4/17 6:00,18,0.0500,0.0939,0.1255,0.1004,0.0838,0.0635,0.0902,0.0509,0.0911,0.0727,0.0934,0.1078,0.0971,0.0887,0.1239,0.0683,0.0703,0.0829,0.1015,0.0913
3/4/17 9:00,21,0.0559,0.1193,0.1235,0.0912,0.0896,0.0607,0.0947,0.0411,0.1006,0.0629,0.1018,0.0879,0.0897,0.0878,0.1275,0.0679,0.0767,0.0818,0.1143,0.0803
3/4/17 12:00,24,0.0409,0.1077,0.0942,0.0732,0.0528,0.0581,0.0692,0.0272,0.0714,0.0390,0.0753,0.0626,0.0601,0.0546,0.1095,0.0437,0.0509,0.0520,0.0716,0.0438
3/4/17 15:00,27,0.0620,0.1194,0.0906,0.1001,0.0960,0.0843,0.1085,0.0458,0.0943,0.0525,0.0815,0.0993,0.0859,0.0633,0.1590,0.0710,0.0999,0.0741,0.0825,0.0723
3/4/17 18:00,30,0.0740,0.1018,0.0904,0.0973,0.1200,0.0722,0.1422,0.0386,0.1112,0.0667,0.0763,0.1171,0.0843,0.0596,0.1690,0.0619,0.1103,0.0778,0.0954,0.0712
3/4/17 21:00,33,0.0643,0.1016,0.0838,0.0904,0.0966,0.0590,0.1683,0.0383,0.1043,0.0565,0.0799,0.1117,0.0728,0.0567,0.1775,0.0582,0.1309,0.0776,0.1223,0.0719
3/5/17 0:00,36,0.0645,0.0981,0.0905,0.0954,0.1235,0.0560,0.2022,0.0451,0.1150,0.0636,0.0825,0.1215,0.0790,0.0599,0.2222,0.0634,0.1954,0.0774,0.1165,0.0657
3/5/17 3:00,39,0.0740,0.0875,0.1042,0.0912,0.1498,0.0617,0.2245,0.0580,0.1984,0.1007,0.1082,0.1219,0.1004,0.0679,0.2154,0.0609,0.2202,0.0730,0.1635,0.0677
3/5/17 6:00,42,0.0711,0.0928,0.1051,0.0937,0.1810,0.0707,0.2883,0.0528,0.1926,0.0854,0.1193,0.1275,0.0906,0.0939,0.2333,0.0565,0.2831,0.0794,0.1396,0.0744
3/5/17 9:00,45,0.0770,0.0905,0.1034,0.0888,0.1711,0.0730,0.3454,0.0614,0.1951,0.1005,0.1329,0.1227,0.0858,0.1253,0.2510,0.0595,0.2576,0.0848,0.1704,0.0688
3/5/17 10:07,46.11666667,0.1020,0.1200,0.1500,0.1267,0.2343,0.1136,0.4945,0.0762,0.3130,0.1397,0.1978,0.2067,0.1234,0.1595,0.3866,0.0958,0.4132,0.1216,0.3193,0.1225
3/5/17 12:00,48,0.1144,0.1383,0.1423,0.1399,0.2567,0.1257,0.5500,0.1080,0.4155,0.1460,0.2105,0.2028,0.1225,0.1590,0.3984,0.1447,0.4475,0.1639,0.3533,0.1459
3/5/17 15:00,51,0.0973,0.1237,0.1467,0.0976,0.2678,0.1506,0.5153,0.1165,0.4023,0.1705,0.2850,0.2003,0.1429,0.1685,0.3745,0.1367,0.3605,0.1376,0.2361,0.1433
3/5/17 18:00,54,0.1063,0.1317,0.1530,0.1110,0.2742,0.1473,0.5294,0.1617,0.4595,0.2449,0.3595,0.2629,0.1495,0.2007,0.4431,0.1722,0.4770,0.1683,0.2442,0.1578
3/5/17 21:00,57,0.0866,0.1083,0.1469,0.1027,0.2923,0.1196,0.4813,0.1341,0.4549,0.2462,0.3360,0.2743,0.1274,0.1715,0.4053,0.1613,0.4051,0.1518,0.2034,0.1286
3/6/17 0:00,60,0.1099,0.1082,0.1450,0.1072,0.3060,0.1254,0.5516,0.1403,0.4765,0.2492,0.3664,0.3295,0.1581,0.1682,0.4330,0.1572,0.4267,0.1348,0.1938,0.1150
3/6/17 3:00,63,0.1099,0.1076,0.1484,0.1331,0.3159,0.1489,0.5996,0.1568,0.4852,0.3039,0.3942,0.3883,0.1482,0.1654,0.4615,0.1833,0.4225,0.2071,0.1863,0.1256
3/6/17 6:00,66,0.1121,0.1143,0.1777,0.1521,0.3505,0.1665,0.5704,0.1958,0.5392,0.3214,0.4502,0.4405,0.1403,0.1731,0.5496,0.1703,0.4354,0.2157,0.2025,0.1296
3/6/17 9:00,69,0.1321,0.1131,0.2070,0.1748,0.4092,0.1947,0.5949,0.2382,0.5651,0.3114,0.5137,0.4882,0.1464,0.1675,0.5483,0.1699,0.4517,0.2351,0.2008,0.1253
3/6/17 12:00,72,0.1432,0.1647,0.2738,0.2486,0.5945,0.3276,0.8421,0.4299,0.7747,0.4543,0.6879,0.5796,0.2394,0.2272,0.6775,0.2992,0.6913,0.3619,0.3024,0.1922
3/3/17 12:00,0,0.0753,0.0473,0.0470,0.0315,0.0617,0.0730,0.0532,0.0576,0.0719,0.0331,0.0958,0.0520,0.0496,0.0731,0.0844,0.0710,0.0460,0.0501,0.0613,0.0632
3/3/17 15:00,3,0.0964,0.0869,0.0519,0.0466,0.0779,0.0792,0.0781,0.0951,0.0802,0.0575,0.1083,0.0757,0.0571,0.0920,0.1015,0.0806,0.1014,0.0693,0.0838,0.1037
3/3/17 18:00,6,0.1030,0.1455,0.0967,0.0880,0.0959,0.0969,0.1110,0.1172,0.0901,0.1420,0.1533,0.1224,0.1126,0.1192,0.1094,0.1045,0.1498,0.1130,0.1559,0.0993
3/3/17 21:00,9,0.0666,0.1122,0.0773,0.0724,0.0906,0.0856,0.0977,0.1084,0.0793,0.1214,0.1268,0.0902,0.1113,0.0968,0.1041,0.0977,0.1130,0.1064,0.1253,0.0770
3/4/17 0:00,12,0.0544,0.1045,0.0879,0.0803,0.0814,0.0740,0.0833,0.0947,0.0798,0.1157,0.1379,0.0935,0.1043,0.1048,0.1010,0.0906,0.1189,0.0876,0.1468,0.0666
3/4/17 3:00,15,0.0585,0.0941,0.0880,0.0766,0.0950,0.0852,0.0820,0.1034,0.0788,0.1182,0.1294,0.1024,0.1026,0.1303,0.1028,0.0953,0.1161,0.0963,0.1216,0.0700
3/4/17 6:00,18,0.0614,0.1058,0.0858,0.0790,0.1084,0.0727,0.0856,0.1008,0.0626,0.1109,0.1315,0.0974,0.0926,0.1206,0.1244,0.1015,0.1367,0.1019,0.1133,0.0689
3/4/17 9:00,21,0.0647,0.1066,0.0924,0.0752,0.1062,0.1026,0.0864,0.0952,0.0738,0.1187,0.1180,0.1090,0.0930,0.1226,0.1232,0.1179,0.1179,0.0967,0.1233,0.0728
3/4/17 12:00,24,0.0480,0.0933,0.0695,0.0601,0.0766,0.0764,0.0874,0.0701,0.0620,0.0816,0.0704,0.0748,0.0528,0.0862,0.0967,0.0946,0.0959,0.0735,0.0804,0.0459
3/4/17 15:00,27,0.0681,0.1036,0.0920,0.0759,0.0888,0.0835,0.0886,0.0843,0.0884,0.1187,0.0907,0.1159,0.0809,0.0957,0.1309,0.1060,0.1097,0.0778,0.1139,0.0637
3/4/17 18:00,30,0.0813,0.1177,0.1045,0.0865,0.1075,0.0988,0.0963,0.0929,0.1053,0.1444,0.0908,0.1139,0.0735,0.1040,0.1816,0.0945,0.1460,0.0861,0.1488,0.0682
3/4/17 21:00,33,0.0863,0.1151,0.1022,0.1100,0.1407,0.0799,0.1540,0.0826,0.1167,0.1340,0.0899,0.0927,0.0849,0.0957,0.2428,0.0882,0.1647,0.0777,0.1420,0.0691
3/5/17 0:00,36,0.0759,0.1123,0.0961,0.0987,0.1660,0.0791,0.1902,0.0828,0.1225,0.1354,0.0894,0.0954,0.0804,0.1010,0.1998,0.1170,0.2186,0.0810,0.1336,0.0754
3/5/17 3:00,39,0.0782,0.1037,0.1122,0.0885,0.1484,0.0743,0.1894,0.0949,0.1587,0.1489,0.1030,0.1060,0.0818,0.1017,0.2099,0.1132,0.1940,0.0744,0.1743,0.0630
3/5/17 6:00,42,0.0766,0.1018,0.1079,0.1036,0.1359,0.0780,0.2912,0.1038,0.1749,0.1496,0.1515,0.0983,0.0911,0.0868,0.2183,0.1052,0.2000,0.0802,0.1972,0.0736
3/5/17 9:00,45,0.0784,0.1126,0.1117,0.1008,0.1653,0.0706,0.3540,0.1115,0.1748,0.1643,0.1664,0.1125,0.0939,0.0910,0.2765,0.0959,0.2564,0.1351,0.1992,0.1203
3/5/17 10:07,46.11666667,0.1165,0.1699,0.1364,0.1490,0.2388,0.1262,0.4668,0.1600,0.2605,0.2358,0.2707,0.1569,0.1400,0.1389,0.3629,0.1444,0.4206,0.1871,0.3167,0.1488
3/5/17 12:00,48,0.1264,0.1984,0.1360,0.1808,0.2139,0.1540,0.4652,0.1967,0.2778,0.2636,0.2826,0.1704,0.1480,0.1521,0.3798,0.1666,0.4689,0.2055,0.3567,0.1571
3/5/17 15:00,51,0.1175,0.1553,0.1216,0.1632,0.2311,0.1465,0.5574,0.1944,0.3535,0.2358,0.3365,0.2180,0.1421,0.1766,0.3475,0.1858,0.3856,0.1797,0.3969,0.2014
3/5/17 18:00,54,0.1279,0.1682,0.1372,0.1603,0.2632,0.1802,0.6057,0.2180,0.4954,0.3021,0.4581,0.2572,0.1549,0.1800,0.3760,0.2109,0.4624,0.2082,0.4110,0.2201
3/5/17 21:00,57,0.1001,0.1356,0.1146,0.1359,0.2658,0.1450,0.5189,0.1871,0.5607,0.2321,0.4366,0.2272,0.1273,0.1453,0.3288,0.2075,0.3544,0.1931,0.2988,0.1575
3/6/17 0:00,60,0.1018,0.1469,0.1281,0.1432,0.3096,0.1760,0.6031,0.2180,0.5363,0.2365,0.4632,0.2497,0.1378,0.1547,0.3964,0.1925,0.3407,0.1594,0.3027,0.1509
3/6/17 3:00,63,0.0974,0.1587,0.1388,0.1470,0.3169,0.2151,0.6461,0.2378,0.5700,0.2881,0.5132,0.3106,0.1407,0.1459,0.4419,0.1871,0.3378,0.2004,0.3109,0.1492
3/6/17 6:00,66,0.1076,0.1690,0.1759,0.1736,0.3356,0.2265,0.7424,0.2536,0.6033,0.3176,0.5589,0.3256,0.1666,0.1417,0.4331,0.1973,0.3435,0.2375,0.3228,0.1663
3/6/17 9:00,69,0.1262,0.1694,0.1803,0.1714,0.3592,0.2042,0.8025,0.2776,0.6483,0.3293,0.6343,0.3476,0.1606,0.1396,0.4181,0.1860,0.3239,0.2707,0.3104,0.1569
3/6/17 12:00,72,0.1790,0.2502,0.2418,0.2366,0.4598,0.2688,1.0821,0.4562,0.8877,0.5024,0.8316,0.4967,0.2137,0.2142,0.5693,0.3042,0.5234,0.4105,0.3975,0.2364
