Date,Elapsed,Control,Erlotinib 1.37 nM,Erlotinib 4.12 nM,Erlotinib 12.3 nM,Erlotinib 37.0 nM,Erlotinib 111 nM,Erlotinib 333 nM,THZ1 11.1 nM,THZ1 33.3 nM,THZ1 100 nM,THZ1 300 nM
,72,0.4552625,0.363172,0.5380484,0.3894299,0.9092275,0.8887231,0.714871,0.2994735,0.4142196,0.4552966,0.5824546
,0,0.2915176,0.4254022,0.3660573,0.559082,0.6271682,1.348117,0.4315484,0.4143561,0.3236827,0.1826957,0.2335384
,3,0.6379753,0.8033251,0.7250806,0.8149175,1.0384,1.209196,0.8319902,0.9253442,0.6706355,0.4780888,0.6696112
,6,0.7615992,1.020183,0.7816256,0.7995691,1.091667,1.149441,0.8831061,1.005672,0.7278805,0.7800378,1.046134
,9,0.7299975,0.9868062,0.6757744,0.6904399,0.7906912,0.859392,0.7088785,0.9481534,0.6857791,0.8208929,1.266356
,12,0.6427045,0.7862523,0.7742673,0.6090028,0.6621333,0.7304585,0.6582748,0.883072,0.6198099,0.8323317,1.448198
,15,0.559082,0.685062,0.692557,0.5108002,0.6266561,0.6284316,0.5440068,0.8386145,0.5529699,0.8854622,1.654693
,18,0.5556333,0.5964202,0.5588259,0.4771669,0.6497896,0.5341216,0.4895788,0.6899107,0.502759,0.7902644,1.514816
,21,0.5561113,0.5235023,0.4458042,0.3768131,0.5701451,0.5470799,0.445053,0.5491115,0.4613404,0.6952374,1.307313
,24,0.4728987,0.4962542,0.3753961,0.3588184,0.524117,0.5014273,0.3908299,0.5038174,0.4117782,0.5624453,1.03181
,27,0.4633892,0.4148683,0.3137463,0.3337897,0.5009493,0.4589161,0.4193243,0.4621428,0.3411481,0.4856691,0.8907205
,30,0.4933006,0.3759253,0.3261582,0.3084708,0.4714304,0.4171561,0.4204341,0.430985,0.345587,0.4627404,0.8348414
,33,0.4783961,0.3459626,0.3455529,0.2986369,0.4466749,0.4154488,0.4062295,0.4139976,0.3171096,0.4435335,0.7747623
,36,0.4679646,0.3179633,0.2717473,0.3076172,0.4244974,0.4158756,0.4115391,0.3663646,0.287164,0.3907957,0.7337023
,39,0.4178048,0.3047831,0.3034343,0.3090001,0.4392483,0.4418945,0.506754,0.368584,0.2640475,0.3289411,0.6577626
,42,0.4232852,0.2951199,0.2423992,0.3380579,0.4317874,0.4883325,0.5898642,0.3614647,0.2400773,0.3037587,0.6145515
,45,0.4347923,0.2966906,0.2581061,0.3387237,0.4500041,0.5020931,0.5972397,0.346526,0.2619304,0.3106732,0.59473
,48,0.389925,0.3255265,0.283647,0.4069295,0.4959811,0.5144879,0.5992372,0.3637012,0.2411529,0.2896396,0.589335
,51,0.3961565,0.3049368,0.2606329,0.3851276,0.5165025,0.5650063,0.6454873,0.3851275,0.231319,0.2912615,0.592869
,54,0.3906933,0.3019661,0.2985686,0.3961737,0.5939788,0.655048,0.6612114,0.397437,0.2408114,0.2770569,0.5797059
,57,0.3996053,0.2815641,0.3190047,0.4219877,0.6114101,0.6326656,0.6895521,0.3893957,0.2620329,0.3073782,0.5848278
,60,0.3957298,0.3191413,0.2952565,0.414544,0.6145173,0.7060786,0.7706307,0.4674183,0.2562793,0.2973394,0.5713403
,63,0.3967712,0.3439651,0.2982101,0.4446091,0.6528798,0.7239367,0.7634772,0.4512846,0.2616231,0.2961272,0.5797743
,66,0.4332045,0.3574867,0.3317922,0.4700817,0.7268561,0.760148,0.8239148,0.5318851,0.2756057,0.2979711,0.568233
,69,0.4570039,0.3963785,0.3766253,0.4989346,0.7762135,0.8043836,0.8637285,0.5485139,0.3005149,0.3134049,0.5698379
,72,0.4444213,0.4597356,0.3662451,0.5247487,0.8845232,0.882372,0.8702844,0.5962153,0.3436407,0.3393384,0.5721256
