Date,Elapsed,Control,LCL161 5 uM,LCL161 10 uM,LCL161 20 uM,LCL161 40 uM,Paclitaxel 2 nM,Paclitaxel 4 nM,Paclitaxel 8 nM,Paclitaxel 0.25 nM,Paclitaxel 0.5 nM,Paclitaxel 1 nM
,3,5.790845,5.756238,4.377168,5.778535,5.383403,4.042934,5.225651,4.886517,4.976081,5.43486,5.119509
,6,4.691273,4.730899,3.488257,4.683897,4.087119,2.990415,4.002608,3.776855,3.904901,4.434669,4.010087
,9,5.350811,5.612024,3.994926,5.246172,4.645535,3.395774,4.416401,4.0625,4.258922,4.693202,4.289807
,12,4.412304,4.705699,3.391096,4.482115,4.051608,2.822334,3.707659,3.37585,3.619803,4.04879,3.684765
,15,4.195924,4.475115,3.225934,4.358269,3.79427,2.618366,3.323625,3.107739,3.368492,3.750017,3.394101
,18,3.96399,4.366907,3.21861,4.251564,3.62933,2.54357,3.156789,3.005969,3.179274,3.508898,3.19732
,21,4.512231,5.270894,3.810164,4.975466,4.228874,2.935168,3.591923,3.241266,3.456621,3.793757,3.417781
,24,4.251393,5.156045,3.776172,4.916207,4.224401,2.935936,3.607357,3.239763,3.407486,3.595287,3.350173
,27,3.504357,4.312906,3.548063,4.617689,3.927454,2.646228,3.150387,2.903088,2.778252,2.963031,2.767308
,30,2.64464,3.654512,3.239985,4.335374,3.762275,2.20698,2.828395,2.708902,2.321538,2.498088,2.385288
,33,2.78433,4.038496,3.638378,4.979957,4.206816,2.334343,3.157968,2.916797,2.18989,2.347779,2.280871
,36,2.330467,3.618403,3.586818,4.867379,4.191109,2.101043,3.03069,2.866757,1.882632,2.027853,1.979878
,39,2.071866,3.271638,3.323181,4.925494,4.212382,1.859669,2.963526,2.820114,1.593897,1.689743,1.701541
,42,1.352727,2.353123,2.892469,4.383707,3.846529,1.458527,2.547479,2.639194,1.245203,1.314672,1.360461
,45,1.197501,2.092746,2.681859,4.312001,3.799562,1.249624,2.341121,2.591066,1.265758,1.364422,1.394367
,48,1.452807,2.642233,3.016298,4.899527,4.499512,1.402153,2.742655,2.980035,1.102013,1.204382,1.35008
,51,1.24201,2.203275,2.613005,4.574358,4.246937,1.096089,2.459742,2.7992,0.945268,1.115347,1.181623
,54,1.171687,2.146491,2.591408,4.666074,4.310687,0.9783722,2.386107,2.761794,0.923432,1.118915,1.156322
,57,1.125027,2.186527,2.516134,4.696754,4.401821,0.9248149,2.391929,2.774581,0.9279734,1.027866,1.158524
,60,1.141622,2.0873,2.463601,4.788229,4.455857,0.8670236,2.45713,2.74298,0.9676676,1.023581,1.170338
,63,1.177236,2.110775,2.558952,5.035921,4.645091,0.9001276,2.535494,2.832355,1.032886,1.104916,1.200557
,66,1.656554,2.635984,2.947836,5.618478,5.290357,1.079306,2.969843,3.123703,1.20865,1.316498,1.424501
,69,1.617406,2.451189,3.561295,6.399438,5.740156,1.292135,3.185813,3.386384,1.644654,1.840564,1.908855
,72,1.976959,2.94565,3.211217,5.998518,5.649141,1.318137,3.067533,3.246148,1.50756,1.643732,1.71315
,0,5.112424,4.922421,4.217128,5.484559,5.409524,3.668921,5.022758,4.746435,4.184007,5.236782,5.532995
,3,5.273796,5.28124,4.401753,5.869089,5.905267,3.968378,5.167074,5.031089,4.565378,5.086115,5.626554
,6,4.515697,4.318523,3.468657,4.639508,4.474278,3.005149,4.136015,3.649339,3.462153,4.266656,4.320572
,9,5.421851,5.127124,4.035645,5.429448,5.187732,3.5489,4.629743,4.114487,3.671926,4.360488,4.558003
,12,4.369041,4.298036,3.278774,4.576612,4.41845,2.862182,3.89406,3.237322,3.13649,3.790172,3.847246
,15,4.124645,4.093538,3.133622,4.368341,4.197067,2.625468,3.563992,2.966769,2.960469,3.66986,3.400264
,18,3.887879,4.00534,3.082933,4.270788,4.09924,2.533172,3.342404,2.777654,2.865511,3.405642,3.170362
,21,4.771737,4.780683,3.770761,5.087054,4.7814,2.940921,3.81865,3.015085,3.152436,3.589362,3.235205
,24,5.042511,4.674866,3.7556,5.045448,4.74355,2.979916,3.811684,2.905973,3.109293,3.537359,3.165821
,27,3.700813,3.844719,3.480096,4.721509,4.426235,2.569315,3.483955,2.683549,2.785679,2.975511,2.468825
,30,2.795393,3.18921,3.169338,4.47141,4.158483,2.197931,3.107876,2.458325,2.402702,2.398793,2.024848
,33,3.002554,3.632607,3.67797,5.079337,4.754272,2.278925,3.37766,2.663318,2.279693,2.246674,1.964854
,36,2.562093,3.252465,3.629791,5.073481,4.777542,2.037823,3.236195,2.652835,2.006119,2.02297,1.686295
,39,2.179185,3.006788,3.578487,4.992983,4.777337,1.847701,3.114278,2.628489,1.724589,1.777088,1.415077
,42,1.358258,2.145638,2.964874,4.386695,4.30886,1.34233,2.643923,2.420526,1.296062,1.328415,1.119615
,45,1.337805,1.892192,2.816819,4.34695,4.310123,1.158934,2.597793,2.340199,1.322354,1.369731,1.219081
,48,1.709326,2.4033,3.191515,5.134602,5.010226,1.28196,3.04737,2.74047,1.14519,1.2479,1.152583
,51,1.361485,2.041989,2.779396,4.752564,4.755603,1.054824,2.764577,2.638272,0.9194711,1.127878,1.05969
,54,1.322713,1.946603,2.675918,4.792258,4.765608,0.9395145,2.68384,2.589598,0.8377438,1.072597,1.055507
,57,1.340127,1.948242,2.69171,4.846157,4.95783,0.9322074,2.644726,2.651828,0.8355755,1.061756,1.074628
,60,1.21034,1.872354,2.575291,4.914653,4.9846,0.944312,2.65794,2.663181,0.8013446,1.11574,1.094262
,63,1.350456,1.99859,2.72536,5.035136,5.118382,0.9638091,2.689713,2.734597,0.7993301,1.164926,1.092743
,66,1.927823,2.626202,3.26066,5.755607,5.894272,1.241668,3.122883,3.05758,0.9028252,1.293484,1.419976
,69,1.698621,2.290893,2.850606,6.462283,6.54022,1.206106,3.372282,3.236878,1.315303,1.675846,1.90935
,72,2.163171,2.850299,3.287294,6.100784,6.34687,1.479987,3.291528,3.13678,1.190894,1.629596,1.830406
