Date Time,Elapsed,Control,R 1,Eto 0.2 uM,Gem 1.25 nM,Eto 1 uM,Gem 2.5 nM,Eto 2 uM,Gem 5 nM,Eto 4 uM,Gem 10 nM,Eto 8 uM,Gem 20 nM,Eto 0.2 uM,Gem 1.25 nM,Eto 1 uM,Gem 2.5 nM,Eto 2 uM,Gem 5 nM,Eto 4 uM,Gem 10 nM,,
3/5/17 21:00,57,0.0473,0.0596,0.0580,0.0372,0.0310,0.0388,0.0418,0.0317,0.0432,0.1118,0.0434,0.0908,0.0542,0.1031,0.0355,0.0771,0.0550,0.0930,0.0596,0.1367,,
3/6/17 0:00,60,0.0480,0.0543,0.0582,0.0357,0.0328,0.0397,0.0410,0.0284,0.0466,0.1011,0.0462,0.0874,0.0524,0.0944,0.0303,0.0758,0.0535,0.0866,0.0607,0.1199,,
3/6/17 3:00,63,0.0474,0.0531,0.0534,0.0337,0.0340,0.0373,0.0424,0.0234,0.0441,0.1068,0.0455,0.0868,0.0530,0.0888,0.0312,0.0720,0.0534,0.0849,0.0576,0.1215,,
3/6/17 6:00,66,0.0462,0.0486,0.0537,0.0299,0.0336,0.0378,0.0427,0.0249,0.0420,0.1004,0.0439,0.0835,0.0502,0.0888,0.0350,0.0687,0.0532,0.0817,0.0584,0.1189,,
3/6/17 9:00,69,0.0465,0.0458,0.0518,0.0286,0.0334,0.0323,0.0402,0.0248,0.0459,0.1012,0.0460,0.0812,0.0496,0.0835,0.0337,0.0641,0.0533,0.0807,0.0582,0.1150,,
3/6/17 12:00,72,0.0517,0.0638,0.0556,0.0426,0.0384,0.0460,0.0408,0.0350,0.0508,0.1279,0.0660,0.1200,0.0610,0.1084,0.0396,0.0708,0.0696,0.1166,0.0883,0.1100,,
3/3/17 12:00,0,0.0533,0.0768,0.0427,0.0279,0.0479,0.0314,0.0230,0.0225,0.0162,0.0394,0.0481,0.0256,0.0498,0.0250,0.0321,0.0352,0.0577,0.0609,0.0421,0.0477,,
3/3/17 15:00,3,0.0891,0.1158,0.0685,0.0278,0.0730,0.0452,0.0319,0.0301,0.0499,0.0684,0.0942,0.0446,0.1237,0.0428,0.0539,0.0571,0.1177,0.0772,0.0916,0.0676,,
3/3/17 18:00,6,0.1380,0.1971,0.0986,0.0765,0.1219,0.0782,0.0653,0.0465,0.0833,0.1149,0.1435,0.0734,0.1977,0.0877,0.1580,0.0737,0.1952,0.1227,0.1534,0.1333,,
3/3/17 21:00,9,0.1338,0.1834,0.0974,0.0754,0.1146,0.0730,0.0622,0.0490,0.0845,0.1092,0.1337,0.0861,0.2015,0.0816,0.1496,0.0734,0.1869,0.1160,0.1435,0.1263,,
3/4/17 0:00,12,0.1236,0.1737,0.1005,0.0762,0.1051,0.0671,0.0562,0.0513,0.0801,0.1129,0.1283,0.0821,0.1982,0.0828,0.1434,0.0764,0.1777,0.1071,0.1340,0.1221,,
3/4/17 3:00,15,0.1212,0.1750,0.0939,0.0727,0.0964,0.0580,0.0573,0.0529,0.0709,0.1153,0.1259,0.0746,0.1891,0.0818,0.1301,0.0778,0.1748,0.0982,0.1317,0.1026,,
3/4/17 6:00,18,0.1139,0.1670,0.0885,0.0682,0.0931,0.0508,0.0589,0.0505,0.0669,0.1146,0.1198,0.0704,0.1897,0.0825,0.1326,0.0776,0.1747,0.0939,0.1365,0.0985,,
3/4/17 9:00,21,0.1085,0.1674,0.0763,0.0620,0.0899,0.0486,0.0576,0.0521,0.0630,0.1161,0.1200,0.0687,0.1880,0.0820,0.1302,0.0735,0.1679,0.0934,0.1279,0.0919,,
3/4/17 12:00,24,0.1003,0.1526,0.0626,0.0542,0.0728,0.0392,0.0487,0.0425,0.0472,0.0920,0.0924,0.0535,0.1467,0.0623,0.0998,0.0568,0.1357,0.0711,0.0944,0.0691,,
3/4/17 15:00,27,0.1056,0.1738,0.0825,0.0613,0.0915,0.0510,0.0553,0.0437,0.0645,0.0939,0.1121,0.0813,0.1751,0.0759,0.1243,0.0694,0.1561,0.0985,0.1140,0.1065,,
3/4/17 18:00,30,0.1169,0.1556,0.0801,0.0653,0.0962,0.0526,0.0614,0.0417,0.0621,0.0937,0.1097,0.0846,0.1749,0.0757,0.1293,0.0663,0.1647,0.1015,0.1152,0.1097,,
3/4/17 21:00,33,0.1078,0.1445,0.0752,0.0602,0.0854,0.0474,0.0621,0.0370,0.0580,0.0833,0.0976,0.0732,0.1576,0.0636,0.1133,0.0605,0.1470,0.0917,0.1041,0.1039,,
3/5/17 0:00,36,0.0957,0.1378,0.0711,0.0551,0.0895,0.0437,0.0584,0.0383,0.0537,0.0825,0.0917,0.0703,0.1506,0.0591,0.1109,0.0550,0.1445,0.0873,0.0983,0.0973,,
3/5/17 3:00,39,0.0954,0.1402,0.0703,0.0516,0.0877,0.0450,0.0639,0.0341,0.0505,0.0832,0.0937,0.0688,0.1467,0.0583,0.1091,0.0539,0.1431,0.0870,0.0950,0.0915,,
3/5/17 6:00,42,0.0998,0.1356,0.0701,0.0503,0.0861,0.0440,0.0644,0.0342,0.0503,0.0757,0.0899,0.0662,0.1502,0.0532,0.1140,0.0548,0.1445,0.0864,0.0945,0.0847,,
3/5/17 9:00,45,0.0987,0.1293,0.0684,0.0473,0.0832,0.0442,0.0609,0.0353,0.0499,0.0738,0.0915,0.0654,0.1476,0.0521,0.1086,0.0513,0.1365,0.0853,0.0952,0.0796,,
3/5/17 10:07,46.11666667,0.1079,0.1554,0.0908,0.0610,0.1047,0.0558,0.0851,0.0563,0.0702,0.1045,0.1268,0.0937,0.1943,0.0737,0.1634,0.0768,0.1978,0.1160,0.1486,0.1307,,
3/5/17 12:00,48,0.1250,0.1765,0.0848,0.0711,0.1018,0.0625,0.0952,0.0566,0.0717,0.1086,0.1175,0.0884,0.1828,0.0799,0.1605,0.0943,0.2036,0.1226,0.1628,0.1208,,
3/5/17 15:00,51,0.1099,0.1463,0.0928,0.0505,0.1142,0.0531,0.0739,0.0385,0.0820,0.1136,0.1318,0.0944,0.1873,0.0939,0.1328,0.0750,0.1977,0.1192,0.1394,0.1247,,
3/5/17 18:00,54,0.1156,0.1465,0.0944,0.0473,0.1275,0.0596,0.0756,0.0450,0.0801,0.1238,0.1315,0.0999,0.1908,0.0986,0.1431,0.0813,0.1941,0.1214,0.1473,0.1290,,
3/5/17 21:00,57,0.0947,0.1251,0.0789,0.0408,0.1140,0.0435,0.0622,0.0342,0.0673,0.1010,0.1108,0.0902,0.1614,0.0878,0.1239,0.0646,0.1526,0.1000,0.1232,0.1103,,
3/6/17 0:00,60,0.0959,0.1193,0.0763,0.0389,0.1079,0.0440,0.0545,0.0348,0.0633,0.0982,0.1035,0.0854,0.1557,0.0797,0.1170,0.0644,0.1505,0.0959,0.1202,0.0980,,
3/6/17 3:00,63,0.0881,0.1126,0.0733,0.0385,0.1083,0.0428,0.0564,0.0327,0.0614,0.1016,0.1001,0.0908,0.1485,0.0759,0.1100,0.0634,0.1462,0.0909,0.1174,0.1032,,
3/6/17 6:00,66,0.0908,0.1105,0.0713,0.0383,0.1061,0.0387,0.0565,0.0311,0.0574,0.0984,0.0957,0.0876,0.1450,0.0725,0.1024,0.0574,0.1412,0.0899,0.1156,0.1013,,
3/6/17 9:00,69,0.0827,0.1013,0.0663,0.0357,0.1003,0.0343,0.0491,0.0317,0.0609,0.0968,0.0943,0.0800,0.1364,0.0693,0.1011,0.0524,0.1321,0.0844,0.1210,0.0930,,
3/6/17 12:00,72,0.1068,0.1287,0.0766,0.0466,0.1202,0.0517,0.0618,0.0429,0.0764,0.1269,0.1209,0.1210,0.1748,0.0945,0.1293,0.0840,0.1741,0.1181,0.1421,0.1081,,
3/3/17 12:00,0,0.0376,0.1857,0.0343,0.0782,0.0417,0.0714,0.0301,0.0986,0.0251,0.1743,0.3341,0.0496,0.0164,0.0355,0.0462,0.0207,0.0416,0.0262,0.0523,0.0431,,
3/3/17 15:00,3,0.0637,0.3231,0.0559,0.1328,0.0643,0.1123,0.0553,0.1983,0.0547,0.3602,0.3794,0.0675,0.0610,0.0523,0.0907,0.0395,0.0760,0.0470,0.1092,0.0728,,
3/3/17 18:00,6,0.0961,0.5327,0.1132,0.2363,0.0987,0.1544,0.0832,0.3206,0.1155,0.6262,0.2638,0.1476,0.1481,0.0880,0.1407,0.0899,0.1805,0.1137,0.2090,0.1365,,
3/3/17 21:00,9,0.0928,0.5335,0.1020,0.2197,0.0885,0.1519,0.0795,0.3174,0.1135,0.6069,0.2495,0.1375,0.1514,0.1134,0.1447,0.0846,0.1664,0.1058,0.1985,0.1450,,
3/4/17 0:00,12,0.0915,0.5516,0.0977,0.2154,0.0863,0.1554,0.0778,0.3239,0.1122,0.6109,0.2549,0.1261,0.1523,0.1166,0.1376,0.0768,0.1603,0.1079,0.1911,0.1336,,
3/4/17 3:00,15,0.0928,0.5523,0.0927,0.2284,0.0849,0.1483,0.0744,0.3252,0.1090,0.6165,0.2507,0.1194,0.1471,0.1149,0.1317,0.0724,0.1498,0.1065,0.1872,0.1331,,
3/4/17 6:00,18,0.0907,0.5560,0.0894,0.2237,0.0807,0.1440,0.0680,0.3365,0.1063,0.6251,0.2511,0.1007,0.1373,0.1109,0.1334,0.0755,0.1501,0.1014,0.1784,0.1286,,
3/4/17 9:00,21,0.0916,0.5476,0.0800,0.2277,0.0728,0.1458,0.0691,0.3328,0.0996,0.6235,0.2174,0.1029,0.1311,0.1124,0.1328,0.0670,0.1464,0.1031,0.1780,0.1219,,
3/4/17 12:00,24,0.0807,0.5064,0.0656,0.2022,0.0660,0.1166,0.0495,0.2651,0.0747,0.5094,0.1933,0.0759,0.1040,0.0920,0.0940,0.0512,0.1102,0.0743,0.1379,0.0897,,
3/4/17 15:00,27,0.0926,0.5733,0.0861,0.2259,0.0714,0.1340,0.0631,0.3193,0.0934,0.5937,0.2348,0.1040,0.1413,0.1154,0.1152,0.0732,0.1346,0.0880,0.1675,0.1043,,
3/4/17 18:00,30,0.1036,0.5761,0.0818,0.2393,0.0763,0.1328,0.0598,0.3147,0.0884,0.5836,0.1415,0.1040,0.1266,0.1096,0.1089,0.0654,0.1333,0.0940,0.1673,0.1064,,
3/4/17 21:00,33,0.0851,0.5274,0.0730,0.2193,0.0690,0.1160,0.0568,0.2914,0.0790,0.5367,0.1307,0.0899,0.1100,0.0961,0.1050,0.0606,0.1271,0.0794,0.1510,0.0911,,
3/5/17 0:00,36,0.0881,0.5239,0.0689,0.2043,0.0622,0.1147,0.0540,0.2818,0.0782,0.5217,0.1248,0.0867,0.1084,0.0891,0.1056,0.0576,0.1178,0.0736,0.1447,0.0859,,
3/5/17 3:00,39,0.0805,0.5139,0.0666,0.2070,0.0608,0.1097,0.0523,0.2798,0.0747,0.5236,0.1210,0.0838,0.1067,0.0858,0.1137,0.0582,0.1136,0.0693,0.1436,0.0806,,
3/5/17 6:00,42,0.0719,0.5099,0.0637,0.2034,0.0588,0.1068,0.0559,0.2820,0.0741,0.5140,0.1225,0.0788,0.1075,0.0858,0.1074,0.0573,0.1150,0.0663,0.1397,0.0768,,
3/5/17 9:00,45,0.0746,0.4946,0.0616,0.1929,0.0556,0.1059,0.0523,0.2825,0.0729,0.5071,0.1052,0.0817,0.1064,0.0807,0.1018,0.0550,0.1140,0.0614,0.1389,0.0756,,
3/5/17 10:07,46.11666667,0.0908,0.6120,0.0827,0.2366,0.0721,0.1411,0.0750,0.3810,0.1109,0.6720,0.1446,0.1129,0.1459,0.1051,0.1359,0.0671,0.1790,0.1032,0.2248,0.1009,,
3/5/17 12:00,48,0.1066,0.6587,0.0976,0.2579,0.0756,0.1552,0.0755,0.4034,0.1064,0.6831,0.1314,0.1187,0.1481,0.1167,0.1344,0.0805,0.1865,0.1134,0.2295,0.1064,,
3/5/17 15:00,51,0.0880,0.6092,0.0869,0.2408,0.0796,0.1469,0.3965,0.3669,0.1452,0.6663,0.5692,0.1241,0.1576,0.1126,0.1426,0.0884,0.1548,0.1206,0.2536,0.1569,,
3/5/17 18:00,54,0.0902,0.6156,0.0852,0.2352,0.0848,0.1456,0.3071,0.3532,0.1491,0.6608,0.1876,0.1337,0.1594,0.1258,0.1460,0.0847,0.1622,0.1409,0.2535,0.1710,,
3/5/17 21:00,57,0.0729,0.5148,0.0688,0.2001,0.0718,0.1176,0.2815,0.2966,0.1330,0.5671,0.1687,0.0966,0.1292,0.1023,0.1322,0.0790,0.1180,0.1085,0.2106,0.1323,,
3/6/17 0:00,60,0.0762,0.5104,0.0630,0.1956,0.0711,0.1135,0.2596,0.2882,0.1278,0.5599,0.1624,0.0939,0.1160,0.0970,0.1232,0.0732,0.1115,0.0985,0.2086,0.1240,,
3/6/17 3:00,63,0.0765,0.5015,0.0663,0.1878,0.0686,0.1106,0.2311,0.2898,0.1217,0.5486,0.1532,0.0941,0.1168,0.0883,0.1199,0.0701,0.1071,0.0914,0.2033,0.1187,,
3/6/17 6:00,66,0.0776,0.5029,0.0603,0.1852,0.0656,0.1053,0.2461,0.2954,0.1232,0.5454,0.1512,0.0997,0.1077,0.0864,0.1182,0.0670,0.1043,0.0900,0.1923,0.1176,,
3/6/17 9:00,69,0.0714,0.4865,0.0577,0.1772,0.0639,0.1062,0.1146,0.2868,0.1160,0.5563,0.1392,0.0962,0.0986,0.0848,0.1086,0.0671,0.0964,0.0919,0.1916,0.1112,,
3/6/17 12:00,72,0.0978,0.5914,0.0774,0.2335,0.0706,0.1353,0.0848,0.3553,0.1460,0.6858,0.1815,0.1314,0.1336,0.1227,0.1300,0.0825,0.1578,0.1356,0.2275,0.1364,,
