Date Time,Elapsed,Control,no reagent_control,TXL 2.5 nM,Cis 2.5 uM,TXL 5 nM,Cis 5 uM,TXL 10 nM,Cis 10 uM,TXL 20 nM,Cis 50 uM,TXL 40 nM,Cis 100 uM,blank
2/19/17 3:00,15,0.1075,0.0001,0.0668,0.0713,0.0819,0.0910,0.0877,0.0910,0.1490,0.3587,0.1970,1.1726,0.0009
2/19/17 6:00,18,0.1076,0.0000,0.0831,0.0816,0.0860,0.0863,0.1394,0.0939,0.2407,0.5049,0.3268,1.2600,0.0008
2/19/17 9:00,21,0.1293,0.0000,0.0943,0.0950,0.1012,0.1073,0.2208,0.1028,0.3507,0.6105,0.5382,1.3124,0.0008
2/19/17 12:00,24,0.1479,0.0000,0.1040,0.1150,0.1218,0.1364,0.2811,0.1301,0.4817,0.6552,0.6939,1.2941,0.0009
2/19/17 15:00,27,0.1495,0.0000,0.1085,0.1230,0.1292,0.1334,0.3306,0.1580,0.5542,0.7132,0.7700,1.1527,0.0008
2/19/17 18:00,30,0.1808,0.0000,0.1518,0.1509,0.1390,0.1503,0.3758,0.1955,0.5938,0.7536,0.8296,1.0984,0.0008
2/19/17 21:00,33,0.1727,0.0000,0.1951,0.2113,0.1613,0.1784,0.3939,0.1930,0.5930,0.7791,0.8594,1.0384,0.0007
2/20/17 0:00,36,0.1849,0.0000,0.1976,0.3110,0.1717,0.2474,0.4596,0.2011,0.6155,0.7652,0.8555,0.9746,0.0008
2/20/17 3:00,39,0.1946,0.0000,0.2096,0.3724,0.1983,0.2783,0.5300,0.2853,0.6602,0.7919,0.9207,1.0061,0.0011
2/20/17 6:00,42,0.2120,0.0000,0.2067,0.3768,0.2255,0.3453,0.5947,0.3539,0.7143,0.7938,0.9375,0.9942,0.0011
2/20/17 9:00,45,0.1992,0.0000,0.1809,0.4062,0.2312,0.3929,0.5662,0.3671,0.7084,0.7362,0.8885,0.9128,0.0010
2/20/17 12:00,48,0.2268,0.0000,0.1664,0.4597,0.2251,0.4248,0.6326,0.3515,0.7495,0.7242,0.9143,0.8920,0.0009
2/20/17 15:00,51,0.2392,0.0000,0.1771,0.5146,0.2141,0.4576,0.5849,0.3959,0.7877,0.7042,0.9296,0.8748,0.0011
2/20/17 18:00,54,0.3236,0.0000,0.2493,0.8024,0.3480,0.6861,0.7694,0.5809,1.0057,0.8336,1.1411,1.1167,0.0014
2/20/17 21:00,57,0.3553,0.0000,0.2546,0.9880,0.3497,0.8467,0.7734,0.6902,0.9506,0.8083,1.1410,1.0625,0.0017
2/21/17 0:00,60,0.3521,0.0000,0.2303,0.8967,0.3363,0.8139,0.7411,0.6532,0.9579,0.6894,1.0245,0.8791,0.0013
2/21/17 3:00,63,0.3474,0.0000,0.2479,0.8901,0.3376,0.8120,0.7098,0.6912,0.9456,0.6607,0.9955,0.8366,0.0015
2/21/17 6:00,66,0.3146,0.0000,0.2707,0.8460,0.3659,0.8152,0.6723,0.7265,0.9171,0.6542,0.9822,0.8214,0.0013
2/21/17 9:00,69,0.3257,0.0000,0.2793,0.8670,0.3652,0.8619,0.6415,0.7260,0.9357,0.6634,0.9903,0.7982,0.0011
2/21/17 12:00,72,0.3281,0.0000,0.2891,0.8939,0.3628,0.8727,0.6149,0.7361,0.9645,0.6628,0.9702,0.7807,0.0009
2/18/17 12:00,0,0.0091,0.0002,0.0006,0.0008,0.0091,0.0046,0.0157,0.0020,0.0099,0.0051,0.0097,0.0041,0.0045
2/18/17 15:00,3,0.0443,0.0000,0.0310,0.0717,0.0726,0.0726,0.0708,0.0557,0.0691,0.0816,0.0819,0.0556,0.0027
2/18/17 18:00,6,0.0518,0.0002,0.0463,0.0421,0.0777,0.0619,0.0872,0.0579,0.0790,0.0897,0.0827,0.0568,0.0004
2/18/17 21:00,9,0.0637,0.0005,0.0412,0.0476,0.0739,0.0617,0.1093,0.0704,0.0985,0.1136,0.0721,0.3417,0.0009
2/19/17 0:00,12,0.0700,0.0001,0.0394,0.0467,0.0770,0.0705,0.1023,0.0871,0.1333,0.2578,0.1688,0.8509,0.0004
2/19/17 3:00,15,0.0911,0.0000,0.0514,0.0576,0.0876,0.0808,0.1610,0.0949,0.1843,0.3553,0.2799,1.1370,0.0014
2/19/17 6:00,18,0.1008,0.0000,0.0704,0.0799,0.1160,0.1110,0.2184,0.1146,0.2531,0.4463,0.3733,1.2325,0.0004
2/19/17 9:00,21,0.0964,0.0000,0.0771,0.1330,0.1293,0.1477,0.2617,0.1354,0.3415,0.5282,0.5165,1.2485,0.0002
2/19/17 12:00,24,0.1035,0.0000,0.1074,0.1521,0.1630,0.1848,0.3296,0.1360,0.4440,0.5937,0.6643,1.2369,0.0004
2/19/17 15:00,27,0.1350,0.0000,0.1144,0.1160,0.1672,0.1717,0.3675,0.1324,0.5156,0.6120,0.7567,1.0927,0.0002
2/19/17 18:00,30,0.1263,0.0000,0.1161,0.1350,0.1881,0.1564,0.3977,0.1417,0.5880,0.6744,0.8051,0.9979,0.0004
2/19/17 21:00,33,0.1349,0.0000,0.1297,0.2172,0.1919,0.2107,0.4376,0.1552,0.6286,0.7440,0.8245,0.9508,0.0002
2/20/17 0:00,36,0.1373,0.0000,0.1410,0.2373,0.2064,0.1971,0.4621,0.2218,0.6494,0.7655,0.8236,0.8956,0.0000
2/20/17 3:00,39,0.1614,0.0000,0.1604,0.2650,0.2377,0.2462,0.5263,0.2878,0.6821,0.8073,0.8814,0.9204,0.0002
2/20/17 6:00,42,0.1661,0.0000,0.1640,0.3016,0.2826,0.3050,0.5849,0.2728,0.7570,0.7949,0.9104,0.9028,0.0002
2/20/17 9:00,45,0.1593,0.0000,0.1471,0.3565,0.2872,0.3598,0.5879,0.2692,0.7534,0.7319,0.8902,0.8111,0.0001
2/20/17 12:00,48,0.1644,0.0000,0.1724,0.4606,0.2759,0.3864,0.5854,0.2836,0.7621,0.6966,0.9078,0.7753,0.0002
2/20/17 15:00,51,0.1695,0.0000,0.1809,0.5121,0.2599,0.4658,0.6234,0.3286,0.8632,0.6726,0.9491,0.7813,0.0000
2/20/17 18:00,54,0.2261,0.0000,0.2745,0.7574,0.3980,0.7150,0.7709,0.5198,0.9771,0.8274,1.2009,0.9936,0.0022
2/20/17 21:00,57,0.2531,0.0000,0.2722,0.9261,0.4488,0.7534,0.7700,0.5643,0.8974,0.7695,1.2185,0.9191,0.0018
2/21/17 0:00,60,0.2376,0.0000,0.2507,0.9024,0.4090,0.7032,0.7312,0.5080,0.8369,0.6596,1.0508,0.7647,0.0007
2/21/17 3:00,63,0.2541,0.0000,0.2476,0.9552,0.4079,0.7449,0.7164,0.5407,0.8224,0.6407,0.9979,0.7330,0.0045
2/21/17 6:00,66,0.2776,0.0000,0.2700,0.9637,0.4124,0.8623,0.6844,0.6049,0.8204,0.6249,0.9788,0.6762,0.0006
2/21/17 9:00,69,0.3107,0.0000,0.2532,0.9432,0.4137,0.9408,0.7074,0.6645,0.8142,0.6276,0.9917,0.6603,0.0007
2/21/17 12:00,72,0.3183,0.0000,0.2515,0.9071,0.3813,0.9729,0.6829,0.7503,0.8472,0.6235,0.9635,0.6339,0.0003
